0;annees;regions;ensoleillement ;Précipitations;;;;;;;;;;;;;;;;;;;;;;;
1;2013;Alsace;16;51;;;;;;;;;;;;;;;;;;;;;;;
2;2013;Aquitaine;28;67;;;;;;;;;;;;;;;;;;;;;;;
3;2013;Auvergne;21;60;;;;;;;;;;;;;;;;;;;;;;;
4;2013;Basse Normandie;25;57;;;;;;;;;;;;;;;;;;;;;;;
5;2013;Bourgogne;22;61;;;;;;;;;;;;;;;;;;;;;;;
6;2013;Bretagne;24;56;;;;;;;;;;;;;;;;;;;;;;;
7;2013;Centre;20;59;;;;;;;;;;;;;;;;;;;;;;;
8;2013;Champagne-Ardenne;20;59;;;;;;;;;;;;;;;;;;;;;;;
9;2013;Corse;36;61;;;;;;;;;;;;;;;;;;;;;;;
10;2013;Franche-Comté;18;50;;;;;;;;;;;;;;;;;;;;;;;
11;2013;Haute Normandie;22;48;;;;;;;;;;;;;;;;;;;;;;;
12;2013;Ile-de-France;23;58;;;;;;;;;;;;;;;;;;;;;;;
13;2013;Languedoc-Roussillon;33;34;;;;;;;;;;;;;;;;;;;;;;;
14;2013;Limousin;21;62;;;;;;;;;;;;;;;;;;;;;;;
15;2013;Lorraine;17;49;;;;;;;;;;;;;;;;;;;;;;;
16;2013;Midi-Pyrénées;34;35;;;;;;;;;;;;;;;;;;;;;;;
17;2013;Nord-Pas-de-Calais;24;50;;;;;;;;;;;;;;;;;;;;;;;
18;2013;Pays de la Loire;26;58;;;;;;;;;;;;;;;;;;;;;;;
19;2013;Picardie;22;49;;;;;;;;;;;;;;;;;;;;;;;
20;2013;Poitou-Charentes;29;63;;;;;;;;;;;;;;;;;;;;;;;
21;2013;Provence-Alpes-Côte-d'Azur;40;50;;;;;;;;;;;;;;;;;;;;;;;
22;2013;Rhône-Alpes;23;61;;;;;;;;;;;;;;;;;;;;;;;
23;2012;Alsace;76;116;;;;;;;;;;;;;;;;;;;;;;;
24;2012;Aquitaine;89;119;;;;;;;;;;;;;;;;;;;;;;;
25;2012;Auvergne;87;113;;;;;;;;;;;;;;;;;;;;;;;
26;2012;Basse Normandie;75;127;;;;;;;;;;;;;;;;;;;;;;;
27;2012;Bourgogne;80;109;;;;;;;;;;;;;;;;;;;;;;;
28;2012;Bretagne;74;128;;;;;;;;;;;;;;;;;;;;;;;
29;2012;Centre;82;108;;;;;;;;;;;;;;;;;;;;;;;
30;2012;Champagne-Ardenne;71;115;;;;;;;;;;;;;;;;;;;;;;;
31;2012;Corse;123;69;;;;;;;;;;;;;;;;;;;;;;;
32;2012;Franche-Comté;75;114;;;;;;;;;;;;;;;;;;;;;;;
33;2012;Haute Normandie;64;151;;;;;;;;;;;;;;;;;;;;;;;
34;2012;Ile-de-France;72;112;;;;;;;;;;;;;;;;;;;;;;;
35;2012;Languedoc-Roussillon;109;48;;;;;;;;;;;;;;;;;;;;;;;
36;2012;Limousin;81;110;;;;;;;;;;;;;;;;;;;;;;;
37;2012;Lorraine;77;117;;;;;;;;;;;;;;;;;;;;;;;
38;2012;Midi-Pyrénées;110;49;;;;;;;;;;;;;;;;;;;;;;;
39;2012;Nord-Pas-de-Calais;65;152;;;;;;;;;;;;;;;;;;;;;;;
40;2012;Pays de la Loire;73;127;;;;;;;;;;;;;;;;;;;;;;;
41;2012;Picardie;63;150;;;;;;;;;;;;;;;;;;;;;;;
42;2012;Poitou-Charentes;93;123;;;;;;;;;;;;;;;;;;;;;;;
43;2012;Provence-Alpes-Côte-d'Azur;122;52;;;;;;;;;;;;;;;;;;;;;;;
44;2012;Rhône-Alpes;87;113;;;;;;;;;;;;;;;;;;;;;;;
45;2011;Alsace;79;96;;;;;;;;;;;;;;;;;;;;;;;
46;2011;Aquitaine;93;101;;;;;;;;;;;;;;;;;;;;;;;
47;2011;Auvergne;95;87;;;;;;;;;;;;;;;;;;;;;;;
48;2011;Basse Normandie;80;95;;;;;;;;;;;;;;;;;;;;;;;
49;2011;Bourgogne;89;99;;;;;;;;;;;;;;;;;;;;;;;
50;2011;Bretagne;81;96;;;;;;;;;;;;;;;;;;;;;;;
51;2011;Centre;88;100;;;;;;;;;;;;;;;;;;;;;;;
52;2011;Champagne-Ardenne;72;85;;;;;;;;;;;;;;;;;;;;;;;
53;2011;Corse;127;63;;;;;;;;;;;;;;;;;;;;;;;
54;2011;Franche-Comté;80;95;;;;;;;;;;;;;;;;;;;;;;;
55;2011;Haute Normandie;70;115;;;;;;;;;;;;;;;;;;;;;;;
56;2011;Ile-de-France;73;86;;;;;;;;;;;;;;;;;;;;;;;
57;2011;Languedoc-Roussillon;106;54;;;;;;;;;;;;;;;;;;;;;;;
58;2011;Limousin;90;101;;;;;;;;;;;;;;;;;;;;;;;
59;2011;Lorraine;78;97;;;;;;;;;;;;;;;;;;;;;;;
60;2011;Midi-Pyrénées;105;53;;;;;;;;;;;;;;;;;;;;;;;
61;2011;Nord-Pas-de-Calais;72;116;;;;;;;;;;;;;;;;;;;;;;;
62;2011;Pays de la Loire;82;97;;;;;;;;;;;;;;;;;;;;;;;
63;2011;Picardie;71;114;;;;;;;;;;;;;;;;;;;;;;;
64;2011;Poitou-Charentes;93;90;;;;;;;;;;;;;;;;;;;;;;;
